x,y,z
2500000000.0,0.0,0.0
2500000000.0,8.493921537399779e-13,0.03344481605351159
2500000000.0,1.6987843074799558e-12,0.06688963210702319
2500000000.0,2.5481764612199337e-12,0.10033444816053479
2500000000.0,3.3975686149599116e-12,0.13377926421404637
2500000000.0,4.2469607686998895e-12,0.16722408026755797
2500000000.0,5.096352922439867e-12,0.20066889632106957
2500000000.0,5.945745076179845e-12,0.23411371237458117
2500000000.0,6.795137229919823e-12,0.26755852842809275
2500000000.0,7.644529383659801e-12,0.3010033444816043
2500000000.0,8.493921537399779e-12,0.33444816053511595
2500000000.0,9.343313691139757e-12,0.3678929765886275
2500000000.0,1.0192705844879735e-11,0.40133779264213915
2500000000.0,1.1042097998619711e-11,0.4347826086956507
2500000000.0,1.189149015235969e-11,0.46822742474916235
2500000000.0,1.2740882306099667e-11,0.5016722408026739
2500000000.0,1.3590274459839646e-11,0.5351170568561856
2500000000.0,1.4439666613579624e-11,0.5685618729096973
2500000000.0,1.5289058767319602e-11,0.6020066889632089
2500000000.0,1.613845092105958e-11,0.6354515050167204
2500000000.0,1.6987843074799558e-11,0.6688963210702321
2500000000.0,1.7837235228539534e-11,0.7023411371237436
2500000000.0,1.8686627382279514e-11,0.7357859531772553
2500000000.0,1.953601953601949e-11,0.7692307692307669
2500000000.0,2.038541168975947e-11,0.8026755852842786
2500000000.0,2.123480384349945e-11,0.8361204013377903
2500000000.0,2.2084195997239422e-11,0.8695652173913018
2500000000.0,2.29335881509794e-11,0.9030100334448135
2500000000.0,2.378298030471938e-11,0.9364548494983251
2500000000.0,2.463237245845936e-11,0.9698996655518368
2500000000.0,2.5481764612199334e-11,1.0033444816053483
2500000000.0,2.6331156765939313e-11,1.03678929765886
2500000000.0,2.7180548919679293e-11,1.0702341137123716
2500000000.0,2.802994107341927e-11,1.1036789297658833
2500000000.0,2.887933322715925e-11,1.137123745819395
2500000000.0,2.972872538089922e-11,1.1705685618729065
2500000000.0,3.0578117534639204e-11,1.2040133779264182
2500000000.0,3.142750968837918e-11,1.2374581939799298
2500000000.0,3.227690184211916e-11,1.2709030100334415
2500000000.0,3.312629399585913e-11,1.304347826086953
2500000000.0,3.3975686149599116e-11,1.3377926421404647
2500000000.0,3.482507830333909e-11,1.3712374581939761
2500000000.0,3.567447045707907e-11,1.4046822742474876
2500000000.0,3.652386261081905e-11,1.4381270903009993
2500000000.0,3.737325476455903e-11,1.4715719063545107
2500000000.0,3.8222646918299004e-11,1.5050167224080224
2500000000.0,3.907203907203898e-11,1.5384615384615339
2500000000.0,3.9921431225778956e-11,1.5719063545150453
2500000000.0,4.077082337951894e-11,1.605351170568557
2500000000.0,4.1620215533258915e-11,1.6387959866220685
2500000000.0,4.24696076869989e-11,1.6722408026755802
2500000000.0,4.3318999840738874e-11,1.7056856187290916
2500000000.0,4.4168391994478844e-11,1.739130434782603
2500000000.0,4.501778414821883e-11,1.7725752508361148
2500000000.0,4.58671763019588e-11,1.8060200668896262
2500000000.0,4.671656845569878e-11,1.8394648829431377
2500000000.0,4.756596060943876e-11,1.8729096989966494
2500000000.0,4.841535276317874e-11,1.9063545150501608
2500000000.0,4.926474491691872e-11,1.9397993311036725
2500000000.0,5.011413707065869e-11,1.973244147157184
2500000000.0,5.096352922439867e-11,2.0066889632106957
2500000000.0,5.181292137813865e-11,2.0401337792642074
2500000000.0,5.2662313531878626e-11,2.073578595317719
2500000000.0,5.351170568561861e-11,2.1070234113712307
2500000000.0,5.4361097839358585e-11,2.1404682274247424
2500000000.0,5.5210489993098555e-11,2.173913043478254
2500000000.0,5.605988214683854e-11,2.2073578595317658
2500000000.0,5.6909274300578514e-11,2.2408026755852775
2500000000.0,5.77586664543185e-11,2.274247491638789
2500000000.0,5.860805860805847e-11,2.307692307692301
2500000000.0,5.945745076179844e-11,2.3411371237458125
2500000000.0,6.030684291553843e-11,2.374581939799324
2500000000.0,6.115623506927841e-11,2.408026755852836
2500000000.0,6.200562722301839e-11,2.4414715719063476
2500000000.0,6.285501937675836e-11,2.4749163879598592
2500000000.0,6.370441153049833e-11,2.508361204013371
2500000000.0,6.455380368423831e-11,2.5418060200668826
2500000000.0,6.54031958379783e-11,2.5752508361203943
2500000000.0,6.625258799171827e-11,2.608695652173906
2500000000.0,6.710198014545825e-11,2.6421404682274177
2500000000.0,6.795137229919823e-11,2.6755852842809293
2500000000.0,6.880076445293821e-11,2.709030100334441
2500000000.0,6.965015660667818e-11,2.7424749163879527
2500000000.0,7.049954876041815e-11,2.7759197324414644
2500000000.0,7.134894091415814e-11,2.809364548494976
2500000000.0,7.219833306789812e-11,2.842809364548488
2500000000.0,7.30477252216381e-11,2.876254180602
2500000000.0,7.389711737537807e-11,2.9096989966555116
2500000000.0,7.474650952911805e-11,2.9431438127090233
2500000000.0,7.559590168285802e-11,2.976588628762535
