x,y,z
10000000000.0,0.0,0.0
9997792140.755745,210124511.28475416,0.0
9991169537.95147,420156237.5005714,0.0
9980135115.942135,630002434.5497893,0.0
9964693747.217873,839570440.2592024,0.0
9944852250.252417,1048767715.2970695,0.0
9920619386.492268,1257501884.0358777,0.0
9892005856.487877,1465680775.3428185,0.0
9859024295.168594,1673212463.279966,0.0
9821689266.263426,1880005307.6961823,0.0
9780017255.870113,2085967994.6928298,0.0
9734026665.175331,2291009576.9454165,0.0
9683737802.329245,2495039513.8633757,0.0
9629172873.477993,2697967711.570243,0.0
9570355972.958094,2899704562.6865706,0.0
9507313072.657055,3100160985.898032,0.0
9440072010.544918,3299248465.2912145,0.0
9368662478.381798,3496879089.4397593,0.0
9293116008.606836,3692965590.2235727,0.0
9213465960.41437,3887421381.3639674,0.0
9129747505.023436,4080160596.6577296,0.0
9041997610.147165,4271098127.893218,0.0
8950255023.668877,4460149662.431747,0.0
8854560256.532099,4647231720.437686,0.0
8754955564.852081,4832261691.74079,0.0
8651484931.256685,5015157872.314542,0.0
8544194045.464886,5195839500.354336,0.0
8433130284.111488,5374226791.939626,0.0
8318342689.826937,5550240976.264254,0.0
8199881949.58146,5723804330.419424,0.0
8077800372.303147,5894840213.713949,0.0
7952151865.779789,6063273101.516625,0.0
7822991912.854713,6229028618.605774,0.0
7690377546.927132,6392033572.01126,0.0
7554367326.767792,6552215983.334436,0.0
7415021310.661071,6709505120.53178,0.0
7272401029.884932,6863831529.148175,0.0
7126569461.5404415,7015127062.986043,0.0
6977591000.742853,7163324914.196782,0.0
6825531432.186542,7308359642.78124,0.0
6670457901.096327,7450167205.486169,0.0
6512438883.578045,7588684984.08392,0.0
6351544156.381411,7723851813.022902,0.0
6187844766.088584,7855608006.436555,0.0
6021412997.741993,7983895384.49896,0.0
5852322342.925295,8108657299.115396,0.0
5680647467.311558,8229838658.9365635,0.0
5506464177.69301,8347385953.68536,0.0
5329849388.5068865,8461247277.785513,0.0
5150881087.872182,8571372353.281631,0.0
4969638303.152295,8677712552.040518,0.0
4786201066.058765,8780220917.224005,0.0
4600650377.3115225,8878852184.023752,0.0
4413068170.871252,8973562799.648926,0.0
4223537277.7596645,9064310942.557878,0.0
4032141389.483648,9151056540.925364,0.0
3838965021.079447,9233761290.337133,0.0
3644093473.793213,9312388670.70408,0.0
3447612797.41437,9386903962.388487,0.0
3249609752.278453,9457274261.535233,0.0
3050171770.956176,9523468494.601221,0.0
2849386919.645685,9585457432.076576,0.0
2647343859.284994,9643213701.391567,0.0
2444131806.4018164,9696711799.003567,0.0
2239840493.718048,9745928101.658707,0.0
2034560130.5263374,9790840876.823229,0.0
1828381362.8561943,9831430292.279966,0.0
1621395233.4472475,9867678424.88569,0.0
1413693141.5473495,9899569268.485472,0.0
1205366802.55323,9927088740.98054,0.0
996508207.511566,9950224690.546545,0.0
787209582.4983137,9968966900.999462,0.0
577563347.8942844,9983307096.306772,0.0
367662077.57489675,9993238944.241919,0.0
157598458.03216428,9998758059.180443,0.0
-52534752.55305974,9999862004.036566,0.0
-262644765.27047002,9996550291.33931,0.0
-472638801.45328873,9988824383.447775,0.0
-682424133.6467087,9976687691.905392,0.0
-891908126.5537362,9960145575.933487,0.0
-1100998277.940316,9939205340.06479,0.0
-1309602259.4817219,9913876230.917974,0.0
-1517627957.532151,9884169433.11459,0.0
-1724983513.7995048,9850098064.34027,0.0
-1931577365.9074326,9811677169.552315,0.0
-2137318287.826696,9768923714.336271,0.0
-2342115430.1580224,9721856577.414404,0.0
-2545878360.248632,9670496542.309383,0.0
-2748517102.1247563,9614866288.166868,0.0
-2949942176.2224946,9554990379.741034,0.0
-3150064638.899478,9490895256.54746,0.0
-3348796121.7098618,9422609221.188206,0.0
-3546048870.425357,9350162426.854149,0.0
-3741735783.7850204,9273586864.01021,0.0
-3935770451.9567285,9192916346.269247,0.0
-4128067194.693312,9108186495.460932,0.0
-4318541099.166553,9019434725.902136,0.0
-4507108057.4622965,8926700227.875832,0.0
-4693684803.720137,8830023950.325768,0.0
-4878188950.901273,8729448582.774559,0.0
-5060539027.168316,8625018536.473204,0.0
-5240654511.8609495,8516779924.790324,0.0
-5418455871.051587,8404780542.8498,0.0
-5593864592.665332,8289069846.42578,0.0
-5766803221.148671,8169698930.104421,0.0
-5937195391.671687,8046720504.721938,0.0
-6104965863.848613,7920188874.088999,0.0
-6270040554.961867,7790159911.011678,0.0
-6432346572.674896,7656691032.619608,0.0
-6591812247.219379,7519841175.012182,0.0
-6748367163.042576,7379670767.234044,0.0
-6901942189.900865,7236241704.591304,0.0
-7052469513.385697,7089617321.3203335,0.0
-7199882664.868539,6939862362.621143,0.0
-7344116550.851543,6787042956.0677185,0.0
-7485107481.711012,6631226582.407952,0.0
-7622793199.820932,6472482045.766041,0.0
-7757112907.044197,6310879443.2605295,0.0
-7888007291.579354,6146490134.051379,0.0
-8015418554.151019,5979386707.829791,0.0
-8139290433.532413,5809642952.764631,0.0
-8259568231.388737,5637333822.919656,0.0
-8376198836.430415,5462535405.155903,0.0
-8489130747.865547,5285324885.533881,0.0
-8598314098.141207,5105780515.230376,0.0
-8703700674.963547,4923981575.984938,0.0
-8805243942.586998,4740008345.091279,0.0
-8902899062.363138,4553942059.949109,0.0
-8996622912.540178,4365864882.191968,0.0
-9086374107.304312,4175859861.406963,0.0
-9172113015.054531,3984010898.462414,0.0
-9253801775.90282,3790402708.4595885,0.0
-9331404318.392025,3595120783.3249025,0.0
-9404886375.423983,3398251354.0590777,0.0
-9474215499.39091,3199881352.6599803,0.0
-9539361076.503357,3000098373.735885,0.0
-9600294340.308397,2798990635.8261647,0.0
-9656988384.392073,2596646942.446465,0.0
-9709418174.26052,2393156642.875577,0.0
-9757560558.394493,2188609592.701304,0.0
-9801394278.472418,1983096114.1427727,0.0
-9840899978.75748,1776706956.1666665,0.0
-9876060214.644566,1569533254.4150589,0.0
-9906859460.363308,1361666490.9624665,0.0
-9933284115.83383,1153198453.9199412,0.0
-9955322512.67216,944221196.9040264,0.0
-9972964919.34266,734826998.3884703,0.0
-9986203545.455204,525108320.95665467,0.0
-9995032545.205177,315157770.4727028,0.0
-9999448019.954838,105068055.18936346,0.0
-9999448019.954838,-105068055.189361,0.0
-9995032545.205177,-315157770.4727003,0.0
-9986203545.455204,-525108320.9566523,0.0
-9972964919.34266,-734826998.3884723,0.0
-9955322512.67216,-944221196.9040283,0.0
-9933284115.83383,-1153198453.9199388,0.0
